Issue Type,Details
Missing GT,Week of 2024-02-24: 0 of 2 sessions
Missing GT,Week of 2024-04-27: 1 of 2 sessions
Missing GT,Week of 2024-05-25: 1 of 2 sessions
Missing GT,Week of 2024-06-15: 1 of 2 sessions
Missing GT,Week of 2024-07-13: 1 of 2 sessions
Missing GT,Week of 2024-07-20: 1 of 2 sessions
Missing GT,Week of 2024-08-10: 1 of 2 sessions
Missing GT,Week of 2024-03-09: 0 of 2 sessions
Missing GT,Week of 2024-09-14: 1 of 2 sessions
Missing GT,Week of 2024-10-12: 0 of 2 sessions
Missing GT,Week of 2024-10-26: 1 of 2 sessions
Missing GT,Week of 2024-11-09: 1 of 2 sessions
Missing GT,Week of 2024-12-21: 0 of 2 sessions
Missing GT,Week of 2024-03-23: 0 of 2 sessions
Missing GT,Week of 2024-04-13: 1 of 2 sessions
Misnamed File,TaylorJohnson FT 2024-02-25.docx
Misnamed File,TaylorJohnson FT 2024-02-27.docx
Misnamed File,TaylorJohnson FT 2024-03-13.docx
Misnamed File,TaylorJohnson FT 2024-03-15.docx
Misnamed File,TaylorJohnson FT 2024-03-24.docx
Misnamed File,TaylorJohnson FT 2024-03-28.docx
Misnamed File,TaylorJohnson FT 2024-04-06.docx
Misnamed File,TaylorJohnson FT 2024-04-10.docx
Misnamed File,TaylorJohnson FT 2024-04-21.docx
Misnamed File,TaylorJohnson FT 2024-04-23.docx
Misnamed File,TaylorJohnson FT 2024-05-07.docx
Misnamed File,TaylorJohnson FT 2024-05-08.docx
Misnamed File,TaylorJohnson FT 2024-05-19.docx
Misnamed File,TaylorJohnson FT 2024-05-23.docx
Misnamed File,TaylorJohnson FT 2024-06-01.docx
Misnamed File,TaylorJohnson FT 2024-06-07.docx
Misnamed File,TaylorJohnson FT 2024-06-15.docx
Misnamed File,TaylorJohnson FT 2024-06-20.docx
Misnamed File,TaylorJohnson FT 2024-07-03.docx
Misnamed File,TaylorJohnson FT 2024-07-05.docx
Misnamed File,TaylorJohnson FT 2024-07-14.docx
Misnamed File,TaylorJohnson FT 2024-07-16.docx
Misnamed File,TaylorJohnson FT 2024-07-30.docx
Misnamed File,TaylorJohnson FT 2024-08-01.docx
Misnamed File,TaylorJohnson FT 2024-08-14.docx
Misnamed File,TaylorJohnson FT 2024-08-15.docx
Misnamed File,TaylorJohnson FT 2024-08-25.docx
Misnamed File,TaylorJohnson FT 2024-08-30.docx
Misnamed File,TaylorJohnson FT 2024-09-11.docx
Misnamed File,TaylorJohnson FT 2024-09-12.docx
Misnamed File,TaylorJohnson FT 2024-09-22.docx
Misnamed File,TaylorJohnson FT 2024-09-25.docx
Misnamed File,TaylorJohnson FT 2024-10-05.docx
Misnamed File,TaylorJohnson FT 2024-10-10.docx
Misnamed File,TaylorJohnson FT 2024-10-22.docx
Misnamed File,TaylorJohnson FT 2024-10-23.docx
Misnamed File,TaylorJohnson FT 2024-11-02.docx
Misnamed File,TaylorJohnson FT 2024-11-06.docx
Misnamed File,TaylorJohnson FT 2024-11-18.docx
Misnamed File,TaylorJohnson FT 2024-11-20.docx
Misnamed File,TaylorJohnson FT 2024-12-01.docx
Misnamed File,TaylorJohnson FT 2024-12-05.docx
Misnamed File,TaylorJohnson FT 2024-12-18.docx
Misnamed File,TaylorJohnson FT 2024-12-20.docx
Misnamed File,TaylorJohnson FT 2024-12-29.docx
Misnamed File,TaylorJohnson FT 2025-01-01.docx
Misnamed File,TaylorJohnson GT 2024-03-08.pdf
Misnamed File,TaylorJohnson GT 2024-06-22.pdf
Misnamed File,TaylorJohnson GT 2024-07-18.pdf
