Youth,Label,Date,Filename,Status
SkylerClark,GT,2024-01-17,SkylerClark GT 2024-01-17.docx,valid
SkylerClark,GT,2024-01-22,SkylerClark GT 2024-01-22.docx,valid
SkylerClark,GT,2024-01-29,SkylerClark GT 2024-01-29.docx,valid
SkylerClark,GT,2024-01-30,SkylerClark GT 2024-01-30.docx,valid
SkylerClark,GT,2024-02-02,SkylerClark GT 2024-02-02.docx,valid
SkylerClark,GT,2024-01-31,SkylerClark GT 2024-01-31.docx,valid
SkylerClark,GT,2024-02-10,SkylerClark GT 2024-02-10.docx,valid
SkylerClark,GT,2024-02-11,SkylerClark GT 2024-02-11.docx,valid
SkylerClark,GT,2024-02-16,SkylerClark GT 2024-02-16.docx,valid
SkylerClark,GT,2024-02-19,SkylerClark GT 2024-02-19.docx,valid
SkylerClark,GT,2024-02-21,SkylerClark GT 2024-02-21.docx,valid
SkylerClark,GT,2024-02-22,SkylerClark GT 2024-02-22.docx,valid
SkylerClark,GT,2024-03-02,SkylerClark GT 2024-03-02.docx,valid
SkylerClark,GT,2024-03-05,SkylerClark GT 2024-03-05.docx,valid
SkylerClark,GT,2024-03-07,SkylerClark GT 2024-03-07.docx,valid
SkylerClark,GT,2024-03-09,SkylerClark GT 2024-03-09.docx,valid
SkylerClark,GT,2024-03-19,SkylerClark GT 2024-03-19.docx,valid
SkylerClark,GT,2024-03-17,SkylerClark GT 2024-03-17.docx,valid
SkylerClark,GT,2024-03-20,SkylerClark GT 2024-03-20.pdf,misnamed
SkylerClark,GT,2024-03-24,SkylerClark GT 2024-03-24.docx,valid
SkylerClark,GT,2024-04-02,SkylerClark GT 2024-04-02.docx,valid
SkylerClark,GT,2024-03-30,SkylerClark GT 2024-03-30.docx,valid
SkylerClark,GT,2024-04-05,SkylerClark GT 2024-04-05.docx,valid
SkylerClark,GT,2024-04-07,SkylerClark GT 2024-04-07.docx,valid
SkylerClark,GT,2024-04-15,SkylerClark GT 2024-04-15.docx,valid
SkylerClark,GT,2024-04-16,SkylerClark GT 2024-04-16.docx,valid
SkylerClark,GT,2024-04-20,SkylerClark GT 2024-04-20.docx,valid
SkylerClark,GT,2024-04-22,SkylerClark GT 2024-04-22.docx,valid
SkylerClark,GT,2024-04-24,SkylerClark GT 2024-04-24.docx,valid
SkylerClark,GT,2024-04-28,SkylerClark GT 2024-04-28.docx,valid
SkylerClark,GT,2024-05-03,SkylerClark GT 2024-05-03.docx,valid
SkylerClark,GT,2024-05-06,SkylerClarkGT2024-05-06.docx,misnamed
SkylerClark,GT,2024-05-10,SkylerClark GT 2024-05-10.docx,valid
SkylerClark,GT,2024-05-11,SkylerClark GT 2024-05-11.docx,valid
SkylerClark,GT,2024-05-19,SkylerClark GT 2024-05-19.docx,valid
SkylerClark,GT,2024-05-21,GT SkylerClark 2024-05-21.docx,misnamed
SkylerClark,GT,2024-05-26,SkylerClark GT 2024-05-26.docx,valid
SkylerClark,GT,2024-05-28,SkylerClark GT 2024-05-28.docx,valid
SkylerClark,GT,2024-06-01,SkylerClark GT 2024-06-01.docx,valid
SkylerClark,GT,2024-05-31,SkylerClark GT 2024-05-31.docx,valid
SkylerClark,GT,2024-06-07,SkylerClark GT 2024-06-07.docx,valid
SkylerClark,GT,2024-06-11,SkylerClark GT 2024-06-11.docx,valid
SkylerClark,GT,2024-06-14,SkylerClark GT 2024-06-14.docx,valid
SkylerClark,GT,2024-06-15,SkylerClark GT 2024-06-15.docx,valid
SkylerClark,GT,2024-06-22,SkylerClark GT 2024-06-22.docx,valid
SkylerClark,GT,2024-06-21,SkylerClark GT 2024-06-21.docx,valid
SkylerClark,GT,2024-06-28,SkylerClark GT 2024-06-28.docx,valid
SkylerClark,GT,2024-06-27,SkylerClark GT 2024-06-27.docx,valid
SkylerClark,GT,2024-07-05,SkylerClark GT 2024-07-05.docx,valid
SkylerClark,GT,2024-07-06,SkylerClark GT 2024-07-06.docx,valid
SkylerClark,GT,2024-07-14,SkylerClarkGT2024-07-14.docx,misnamed
SkylerClark,GT,2024-07-15,SkylerClark GT 2024-07-15.docx,valid
SkylerClark,GT,2024-07-18,SkylerClark GT 2024-07-18.docx,valid
SkylerClark,GT,2024-07-23,SkylerClark GT 2024-07-23.docx,valid
SkylerClark,GT,2024-07-28,SkylerClark GT 2024-07-28.docx,valid
SkylerClark,GT,2024-07-29,SkylerClark GT 2024-07-29.docx,valid
SkylerClark,GT,2024-08-04,SkylerClark GT 2024-08-04.docx,valid
SkylerClark,GT,2024-08-02,SkylerClark GT 2024-08-02.docx,valid
SkylerClark,GT,2024-08-07,SkylerClark GT 2024-08-07.docx,valid
SkylerClark,GT,2024-08-09,SkylerClark GT 2024-08-09.docx,valid
SkylerClark,GT,2024-08-14,SkylerClark GT 2024-08-14.docx,valid
SkylerClark,GT,2024-08-16,SkylerClark GT 2024-08-16.docx,valid
SkylerClark,GT,2024-08-23,SkylerClark GT 2024-08-23.docx,valid
SkylerClark,GT,2024-08-24,SkylerClark GT 2024-08-24.docx,valid
SkylerClark,GT,2024-08-29,SkylerClark GT 2024-08-29.docx,valid
SkylerClark,GT,2024-08-30,SkylerClark GT 2024-08-30.docx,valid
SkylerClark,GT,2024-09-06,SkylerClark GT 2024-09-06.docx,valid
SkylerClark,GT,2024-09-08,SkylerClark GT 2024-09-08.docx,valid
SkylerClark,GT,2024-09-11,SkylerClark GT 2024-09-11.docx,valid
SkylerClark,GT,2024-09-15,SkylerClark GT 2024-09-15.docx,valid
SkylerClark,GT,2024-09-21,SkylerClark GT 2024-09-21.docx,valid
SkylerClark,GT,2024-09-18,SkylerClark GT 2024-09-18.docx,valid
SkylerClark,GT,2024-09-27,SkylerClark GT 2024-09-27.docx,valid
SkylerClark,GT,2024-09-25,SkylerClark GT 2024-09-25.docx,valid
SkylerClark,GT,2024-10-05,SkylerClark GT 2024-10-05.docx,valid
SkylerClark,GT,2024-10-06,SkylerClark GT 2024-10-06.docx,valid
SkylerClark,GT,2024-10-15,SkylerClark GT 2024-10-15.docx,valid
SkylerClark,GT,2024-10-14,SkylerClark GT 2024-10-14.docx,valid
SkylerClark,GT,2024-10-17,SkylerClark GT 2024-10-17.docx,valid
SkylerClark,GT,2024-10-18,SkylerClark GT 2024-10-18.docx,valid
SkylerClark,GT,2024-10-23,SkylerClark GT 2024-10-23.docx,valid
SkylerClark,GT,2024-10-26,SkylerClark GT 2024-10-26.docx,valid
SkylerClark,GT,2024-11-04,SkylerClark GT 2024-11-04.docx,valid
SkylerClark,GT,2024-11-01,SkylerClark GT 2024-11-01.docx,valid
SkylerClark,GT,2024-11-11,SkylerClark GT 2024-11-11.docx,valid
SkylerClark,GT,2024-11-08,SkylerClark GT 2024-11-08.docx,valid
SkylerClark,GT,2024-11-15,SkylerClark GT 2024-11-15.docx,valid
