Youth,Label,Date,Filename,Status
AveryGarcia,GT,2024-02-25,AveryGarcia GT 2024-02-25.docx,valid
AveryGarcia,GT,2024-02-22,AveryGarcia GT 2024-02-22.docx,valid
AveryGarcia,GT,2024-03-04,AveryGarcia GT 2024-03-04.pdf,misnamed
AveryGarcia,GT,2024-03-02,AveryGarcia GT 2024-03-02.docx,valid
AveryGarcia,GT,2024-03-05,AveryGarcia GT 2024-03-05.pdf,misnamed
AveryGarcia,GT,2024-03-09,AveryGarciaGT2024-03-09.docx,misnamed
AveryGarcia,GT,2024-03-15,AveryGarcia GT 2024-03-15.docx,valid
AveryGarcia,GT,2024-03-14,AveryGarcia GT 2024-03-14.docx,valid
AveryGarcia,GT,2024-03-24,AveryGarcia GT 2024-03-24.docx,valid
AveryGarcia,GT,2024-03-22,AveryGarcia GT 2024-03-22.docx,valid
AveryGarcia,GT,2024-03-26,AveryGarcia GT 2024-03-26.docx,valid
AveryGarcia,GT,2024-03-30,AveryGarcia GT 2024-03-30.docx,valid
AveryGarcia,GT,2024-04-04,GT AveryGarcia 2024-04-04.docx,misnamed
AveryGarcia,GT,2024-04-05,AveryGarcia GT 2024-04-05.docx,valid
AveryGarcia,GT,2024-04-10,AveryGarcia GT 2024-04-10.docx,valid
AveryGarcia,GT,2024-04-13,AveryGarcia GT 2024-04-13.docx,valid
AveryGarcia,GT,2024-04-21,AveryGarcia GT 2024-04-21.docx,valid
AveryGarcia,GT,2024-04-16,AveryGarcia GT 2024-04-16.docx,valid
AveryGarcia,GT,2024-04-28,AveryGarcia GT 2024-04-28.docx,valid
AveryGarcia,GT,2024-04-25,AveryGarcia GT 2024-04-25.docx,valid
AveryGarcia,GT,2024-05-02,AveryGarcia GT 2024-05-02.docx,valid
AveryGarcia,GT,2024-05-06,AveryGarcia GT 2024-05-06.docx,valid
AveryGarcia,GT,2024-05-13,GT AveryGarcia 2024-05-13.docx,misnamed
AveryGarcia,GT,2024-05-07,AveryGarcia GT 2024-05-07.docx,valid
AveryGarcia,GT,2024-05-19,AveryGarcia GT 2024-05-19.docx,valid
AveryGarcia,GT,2024-05-16,AveryGarcia GT 2024-05-16.docx,valid
AveryGarcia,GT,2024-05-21,AveryGarcia GT 2024-05-21.docx,valid
AveryGarcia,GT,2024-05-27,AveryGarcia GT 2024-05-27.docx,valid
AveryGarcia,GT,2024-06-02,AveryGarcia GT 2024-06-02.docx,valid
AveryGarcia,GT,2024-05-29,AveryGarcia GT 2024-05-29.docx,valid
AveryGarcia,GT,2024-06-07,AveryGarcia GT 2024-06-07.docx,valid
AveryGarcia,GT,2024-06-05,AveryGarcia GT 2024-06-05.docx,valid
AveryGarcia,GT,2024-06-13,AveryGarcia GT 2024-06-13.docx,valid
AveryGarcia,GT,2024-06-17,AveryGarcia GT 2024-06-17.docx,valid
AveryGarcia,GT,2024-06-21,AveryGarcia GT 2024-06-21.docx,valid
AveryGarcia,GT,2024-06-18,AveryGarcia GT 2024-06-18.docx,valid
AveryGarcia,GT,2024-06-27,AveryGarcia GT 2024-06-27.docx,valid
AveryGarcia,GT,2024-06-26,,skipped
AveryGarcia,GT,2024-07-07,AveryGarcia GT 2024-07-07.docx,valid
AveryGarcia,GT,2024-07-03,AveryGarcia GT 2024-07-03.docx,valid
AveryGarcia,GT,2024-07-10,AveryGarcia GT 2024-07-10.docx,valid
AveryGarcia,GT,2024-07-12,AveryGarcia GT 2024-07-12.docx,valid
AveryGarcia,GT,2024-07-22,AveryGarcia GT 2024-07-22.docx,valid
AveryGarcia,GT,2024-07-18,AveryGarcia GT 2024-07-18.docx,valid
AveryGarcia,GT,2024-07-23,AveryGarcia GT 2024-07-23.docx,valid
AveryGarcia,GT,2024-07-25,AveryGarcia GT 2024-07-25.docx,valid
AveryGarcia,GT,2024-08-03,AveryGarcia GT 2024-08-03.docx,valid
AveryGarcia,GT,2024-07-31,AveryGarcia GT 2024-07-31.docx,valid
AveryGarcia,GT,2024-08-06,AveryGarcia GT 2024-08-06.docx,valid
AveryGarcia,GT,2024-08-12,AveryGarcia GT 2024-08-12.docx,valid
AveryGarcia,GT,2024-08-17,AveryGarciaGT2024-08-17.docx,misnamed
AveryGarcia,GT,2024-08-13,AveryGarcia GT 2024-08-13.docx,valid
AveryGarcia,GT,2024-08-25,AveryGarcia GT 2024-08-25.docx,valid
AveryGarcia,GT,2024-08-23,AveryGarcia GT 2024-08-23.docx,valid
AveryGarcia,GT,2024-08-27,AveryGarcia GT 2024-08-27.docx,valid
AveryGarcia,GT,2024-09-02,AveryGarcia GT 2024-09-02.docx,valid
AveryGarcia,GT,2024-09-06,AveryGarcia GT 2024-09-06.docx,valid
AveryGarcia,GT,2024-09-07,AveryGarcia GT 2024-09-07.docx,valid
AveryGarcia,GT,2024-09-16,AveryGarcia GT 2024-09-16.docx,valid
AveryGarcia,GT,2024-09-12,AveryGarcia GT 2024-09-12.docx,valid
AveryGarcia,GT,2024-09-17,,skipped
AveryGarcia,GT,2024-09-23,AveryGarcia GT 2024-09-23.docx,valid
AveryGarcia,GT,2024-09-27,AveryGarcia GT 2024-09-27.docx,valid
AveryGarcia,GT,2024-09-29,AveryGarcia GT 2024-09-29.docx,valid
AveryGarcia,GT,2024-10-01,AveryGarcia GT 2024-10-01.docx,valid
AveryGarcia,GT,2024-10-07,AveryGarcia GT 2024-10-07.docx,valid
AveryGarcia,GT,2024-10-09,AveryGarcia GT 2024-10-09.docx,valid
AveryGarcia,GT,2024-10-11,AveryGarcia GT 2024-10-11.docx,valid
AveryGarcia,GT,2024-10-19,GT AveryGarcia 2024-10-19.docx,misnamed
AveryGarcia,GT,2024-10-20,AveryGarcia GT 2024-10-20.docx,valid
AveryGarcia,GT,2024-10-27,AveryGarcia GT 2024-10-27.docx,valid
AveryGarcia,GT,2024-10-24,AveryGarcia GT 2024-10-24.docx,valid
AveryGarcia,GT,2024-11-01,,skipped
AveryGarcia,GT,2024-11-03,AveryGarcia GT 2024-11-03.docx,valid
AveryGarcia,GT,2024-11-05,,skipped
AveryGarcia,GT,2024-11-08,AveryGarcia GT 2024-11-08.docx,valid
AveryGarcia,GT,2024-11-15,AveryGarcia GT 2024-11-15.docx,valid
AveryGarcia,GT,2024-11-17,AveryGarcia GT 2024-11-17.docx,valid
AveryGarcia,GT,2024-11-23,AveryGarcia GT 2024-11-23.docx,valid
AveryGarcia,GT,2024-11-20,AveryGarcia GT 2024-11-20.docx,valid
AveryGarcia,GT,2024-12-02,AveryGarcia GT 2024-12-02.docx,valid
AveryGarcia,GT,2024-11-28,AveryGarcia GT 2024-11-28.docx,valid
AveryGarcia,GT,2024-12-06,AveryGarcia GT 2024-12-06.docx,valid
AveryGarcia,GT,2024-12-05,AveryGarcia GT 2024-12-05.docx,valid
AveryGarcia,GT,2024-12-15,AveryGarcia GT 2024-12-15.docx,valid
AveryGarcia,GT,2024-12-16,AveryGarcia GT 2024-12-16.docx,valid
AveryGarcia,GT,2024-12-22,AveryGarcia GT 2024-12-22.docx,valid
AveryGarcia,GT,2024-12-19,AveryGarcia GT 2024-12-19.docx,valid
AveryGarcia,GT,2024-12-29,AveryGarcia GT 2024-12-29.docx,valid
AveryGarcia,GT,2024-12-30,AveryGarcia GT 2024-12-30.docx,valid
AveryGarcia,GT,2024-12-31,AveryGarcia GT 2024-12-31.docx,valid
AveryGarcia,GT,2025-01-04,AveryGarcia GT 2025-01-04.docx,valid
RowanLee,GT,2024-01-26,RowanLee GT 2024-01-26.docx,valid
RowanLee,GT,2024-01-27,RowanLee GT 2024-01-27.docx,valid
RowanLee,GT,2024-02-01,RowanLee GT 2024-02-01.docx,valid
RowanLee,GT,2024-02-06,RowanLee GT 2024-02-06.docx,valid
RowanLee,GT,2024-02-13,RowanLee GT 2024-02-13.docx,valid
RowanLee,GT,2024-02-09,RowanLee GT 2024-02-09.docx,valid
RowanLee,GT,2024-02-21,RowanLee GT 2024-02-21.docx,valid
RowanLee,GT,2024-02-18,RowanLee GT 2024-02-18.docx,valid
RowanLee,GT,2024-02-23,RowanLee GT 2024-02-23.docx,valid
RowanLee,GT,2024-02-28,RowanLee GT 2024-02-28.docx,valid
RowanLee,GT,2024-02-29,RowanLee GT 2024-02-29.docx,valid
RowanLee,GT,2024-03-03,RowanLee GT 2024-03-03.docx,valid
RowanLee,GT,2024-03-13,RowanLee GT 2024-03-13.docx,valid
RowanLee,GT,2024-03-09,RowanLee GT 2024-03-09.docx,valid
RowanLee,GT,2024-03-19,RowanLee GT 2024-03-19.docx,valid
RowanLee,GT,2024-03-16,RowanLee GT 2024-03-16.docx,valid
RowanLee,GT,2024-03-24,RowanLeeGT2024-03-24.docx,misnamed
RowanLee,GT,2024-03-26,RowanLee GT 2024-03-26.docx,valid
RowanLee,GT,2024-03-28,RowanLee GT 2024-03-28.docx,valid
RowanLee,GT,2024-03-30,RowanLee GT 2024-03-30.docx,valid
RowanLee,GT,2024-04-07,RowanLee GT 2024-04-07.docx,valid
RowanLee,GT,2024-04-08,RowanLee GT 2024-04-08.docx,valid
RowanLee,GT,2024-04-15,RowanLee GT 2024-04-15.docx,valid
RowanLee,GT,2024-04-17,RowanLee GT 2024-04-17.docx,valid
RowanLee,GT,2024-04-21,RowanLee GT 2024-04-21.docx,valid
RowanLee,GT,2024-04-20,RowanLeeGT2024-04-20.docx,misnamed
RowanLee,GT,2024-04-29,RowanLee GT 2024-04-29.docx,valid
RowanLee,GT,2024-04-28,RowanLee GT 2024-04-28.docx,valid
RowanLee,GT,2024-05-05,RowanLee GT 2024-05-05.docx,valid
RowanLee,GT,2024-05-02,RowanLee GT 2024-05-02.docx,valid
RowanLee,GT,2024-05-12,RowanLee GT 2024-05-12.docx,valid
RowanLee,GT,2024-05-15,RowanLee GT 2024-05-15.docx,valid
RowanLee,GT,2024-05-20,RowanLee GT 2024-05-20.docx,valid
RowanLee,GT,2024-05-18,RowanLee GT 2024-05-18.docx,valid
RowanLee,GT,2024-05-27,RowanLee GT 2024-05-27.docx,valid
RowanLee,GT,2024-05-29,RowanLee GT 2024-05-29.docx,valid
RowanLee,GT,2024-06-05,RowanLee GT 2024-06-05.docx,valid
